City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
138,Bathsheba,BB,2021-08-15 00:35:35,13.2167,-59.5167,77.61,88,75,18.41,broken clouds
139,Tilichiki,RU,2021-08-15 00:35:35,60.4667,166.1,61.99,63,78,7.14,broken clouds
140,Sorland,NO,2021-08-15 00:35:36,67.667,12.6934,52.11,79,99,22.68,overcast clouds
141,East London,ZA,2021-08-15 00:35:36,-33.0153,27.9116,58.32,66,100,4.74,overcast clouds
142,Jalu,LY,2021-08-15 00:35:36,29.0331,21.5482,81.25,41,0,11.14,clear sky
143,Muroto,JP,2021-08-15 00:35:37,33.2833,134.15,80.64,95,100,23.44,overcast clouds
144,Peshkovo,RU,2021-08-15 00:35:37,47.0187,39.3885,68.85,94,100,6.73,overcast clouds
145,Marystown,CA,2021-08-15 00:35:38,47.1666,-55.1483,64.71,98,64,3.89,broken clouds
146,Muisne,EC,2021-08-15 00:35:38,0.6,-80.0333,73.98,87,100,6.96,overcast clouds
147,Inhambane,MZ,2021-08-15 00:35:38,-23.865,35.3833,65.07,70,100,8.59,overcast clouds
148,Kavieng,PG,2021-08-15 00:35:39,-2.5744,150.7967,85.82,68,63,12.46,light rain
149,Buta,CD,2021-08-15 00:35:39,2.7858,24.73,67.77,89,100,1.12,overcast clouds
150,Bulgan,MN,2021-08-15 00:35:40,48.8125,103.5347,62.78,80,47,2.68,scattered clouds
151,Vaasa,FI,2021-08-15 00:35:40,63.096,21.6158,55.94,100,24,6.91,shower rain
152,Tabou,CI,2021-08-15 00:35:40,4.423,-7.3528,74.32,77,4,6.73,clear sky
153,Kasempa,ZM,2021-08-15 00:35:41,-13.4584,25.8338,59.52,51,0,8.03,clear sky
154,Alihe,CN,2021-08-15 00:35:41,50.5667,123.7167,67.59,66,100,1.74,overcast clouds
155,Nabire,ID,2021-08-15 00:35:41,-3.3667,135.4833,83.98,70,88,2.35,overcast clouds
156,Pevek,RU,2021-08-15 00:35:42,69.7008,170.3133,36.19,96,100,15.43,light rain
157,Cidreira,BR,2021-08-15 00:35:42,-30.1811,-50.2056,58.46,97,38,11.18,scattered clouds
158,Hasaki,JP,2021-08-15 00:35:42,35.7333,140.8333,66.6,92,100,24.43,overcast clouds
159,Katsuura,JP,2021-08-15 00:35:43,35.1333,140.3,68.11,95,100,9.4,overcast clouds
160,The Valley,AI,2021-08-15 00:35:43,18.217,-63.0578,83.1,86,21,22.39,few clouds
161,Pareora,NZ,2021-08-15 00:35:44,-44.4871,171.2132,52.97,50,98,0.69,overcast clouds
162,Catamarca,AR,2021-08-15 00:35:44,-28.4696,-65.7852,47.64,33,0,7.96,clear sky
163,Nautla,MX,2021-08-15 00:35:44,20.2167,-96.7833,82.44,72,3,5.12,clear sky
164,Touros,BR,2021-08-15 00:35:45,-5.1989,-35.4608,76.1,86,10,17.76,clear sky
