City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
307,Nouakchott,MR,82.33,broken clouds,18.0858,-15.9785,HOTEL IMAN فندق إيمان
309,Mogadishu,SO,75.58,light rain,2.0371,45.3438,Hotel Juba
310,Trinidad,BO,73.35,clear sky,-14.8333,-64.9,Hotel Piesta
313,Kishi,NG,70.3,broken clouds,9.0833,3.85,New NCCF KISI
317,Rosetta,EG,80.42,clear sky,31.4044,30.4164,Green Valley
318,Lorengau,PG,85.12,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
319,Kovur,IN,79.86,overcast clouds,14.4833,79.9833,Hotel Yesh Park
323,Tiarei,PF,84.22,few clouds,-17.5333,-149.3333,Le Rocher de Tahiti
328,Hami,CN,87.85,overcast clouds,42.8,93.45,Laoyutang Resort
330,Mendi,PG,71.24,broken clouds,-6.1761,143.6513,Kiburu Lodge
331,Gizo,SB,83.17,moderate rain,-8.103,156.8419,Imagination Island
332,Roebourne,AU,76.95,broken clouds,-20.7833,117.1333,Latitude20 Roebourne Village
333,Axim,GH,74.91,clear sky,4.8699,-2.2405,Axim Beach Resort And Spa
335,Kirkuk,IQ,86.16,clear sky,35.4681,44.3922,تل عبدالعزيز
336,Dhana,IN,74.79,broken clouds,23.75,78.85,Cycling Street DS
337,Poum,NC,71.44,clear sky,-20.2333,164.0167,Gîte kajeon
338,Liliani,PK,80.26,broken clouds,32.2065,72.9537,Umer Tea Stall
339,Halifax,CA,72.41,few clouds,44.6453,-63.5724,Hotel Halifax
341,Matara,LK,78.76,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
342,Ambunti,PG,85.37,broken clouds,-4.2365,142.8448,Ambunti Lodge
345,Lazaro Cardenas,MX,82.53,clear sky,17.9583,-102.2,quinta antigua
346,Filingue,NE,82.85,clear sky,14.3521,3.3168,
348,Dongying,CN,78.96,light rain,37.4564,118.4856,Wanda Realm
349,Port Blair,IN,77.04,drizzle,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
350,Dongning,CN,75.56,few clouds,44.0622,131.1207,Huayu Hotel
351,San Cristobal,VE,73.58,overcast clouds,7.7669,-72.225,Posada Villaven C.A.
352,Zitsa,GR,78.66,clear sky,39.6943,20.6372,ΒΑΝΤΖΟΣ ΚΛΗΜΑΤΙΑ
353,Alvorada,BR,76.96,clear sky,-12.48,-49.1247,Cristal Plaza Hotel
355,Wanning,CN,86.29,overcast clouds,18.8003,110.3967,Paradise Hotel
359,Road Town,VG,84.29,scattered clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
361,Pacific Grove,US,85.15,broken clouds,36.6177,-121.9166,Lovers Point Inn
362,Hambantota,LK,80.94,broken clouds,6.1241,81.1185,Bungalow 63
365,Mahon,ES,77.56,few clouds,39.8885,4.2658,ARTIEM Capri
366,Aripuana,BR,77.74,overcast clouds,-9.1667,-60.6333,
367,Bahia Honda,CU,77.25,light rain,22.9036,-83.1592,Casa Gualberto - Deysi
369,Kerema,PG,82.54,overcast clouds,-7.9631,145.7785,Frena Lodge
370,Phayao,TH,71.96,overcast clouds,19.25,100.25,chuthagarden
371,Hoquiam,US,87.93,overcast clouds,46.9809,-123.8893,Econo Lodge Inn & Suites
372,Saint-Georges,GD,82.08,broken clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
373,Lompoc,US,83.79,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
375,Timizart,DZ,83.57,clear sky,36.8,4.2667,yefssah restaurant
381,Playas,EC,70.02,broken clouds,-2.6333,-80.3833,Hostal Promenade
382,Lasa,IT,70.68,clear sky,46.6166,10.7002,Pension Feldgärtenhof
385,Prainha,BR,72.84,overcast clouds,-1.8,-53.48,Casa Rocha
386,Tanete,ID,84.7,scattered clouds,-3.9443,119.7848,Wisma Tri Multi
388,Umm Lajj,SA,88.86,broken clouds,25.0213,37.2685,Moon light Furnished Units
